frame,time,offset,recv time,send,the,raw,time_2
1,0.178857803,0,1641997153,1641997153,0.128869963,3.5535,0.181857803
2,0.08463347,0.052856088,1641997153,1641997153,0.087509823,3.5535,0.08763347
3,0.072242022,0.052022457,1641997153,1641997153,0.074269962,3.5535,0.075242022
4,0.099847376,0.052763879,1641997153,1641997153,0.102630091,3.5535,0.102847376
5,0.071487506,0.05386893,1641997153,1641997153,0.075370026,3.5535,0.074487506
6,0.089269578,0.053569376,1641997153,1641997153,0.092849922,3.5535,0.092269578
7,0.091068316,0.053645325,1641997154,1641997153,0.094719839,3.5535,0.094068316
8,0.107595146,0.053883135,1641997154,1641997153,0.111489964,3.5535,0.110595146
9,0.08025275,0.05452432,1641997154,1641997154,0.084790182,3.5535,0.08325275
10,0.089054272,0.054596737,1641997154,1641997154,0.093670082,3.5535,0.092054272
11,0.078556365,0.055123025,1641997154,1641997154,0.08368988,3.5535,0.081556365
12,0.108055019,0.055104828,1641997154,1641997154,0.113169861,3.5535,0.111055019
13,0.085264455,0.055518139,1641997154,1641997154,0.090799999,3.5535,0.088264455
14,0.083504419,0.0553508,1641997154,1641997154,0.088870001,3.5535,0.086504419
15,0.078290279,0.055214588,1641997154,1641997154,0.083510113,3.5535,0.081290279
16,0.08871328,0.055176624,1641997154,1641997154,0.093900156,3.5535,0.09171328
17,0.067493669,0.0554576,1641997154,1641997154,0.072960091,3.5535,0.070493669
18,0.097883545,0.055426516,1641997155,1641997154,0.103320074,3.5535,0.100883545
19,0.076828739,0.055345276,1641997155,1641997155,0.082179976,3.5535,0.079828739
20,0.106838564,0.055268427,1641997155,1641997155,0.112119865,3.5535,0.109838564
21,0.076742386,0.055490042,1641997155,1641997155,0.082240057,3.5535,0.079742386
22,0.097865134,0.055407971,1641997155,1641997155,0.10328002,3.5535,0.100865134
23,0.077275736,0.055598038,1641997155,1641997155,0.082879972,3.5535,0.080275736
24,0.088008555,0.05552682,1641997155,1641997155,0.093540144,3.5535,0.091008555
25,0.078969085,0.055689252,1641997155,1641997155,0.084660006,3.5535,0.081969085
26,0.070022081,0.055657888,1641997155,1641997155,0.075689983,3.5535,0.073022081
27,0.084392805,0.055595379,1641997155,1641997155,0.090000105,3.5535,0.087392805
28,0.087670024,0.055645053,1641997155,1641997155,0.093330097,3.5535,0.090670024
29,0.087501058,0.055786601,1641997156,1641997155,0.093290043,3.5535,0.090501058
30,0.077181893,0.055762214,1641997156,1641997156,0.082960081,3.5535,0.080181893
31,0.07706451,0.055701498,1641997156,1641997156,0.082770061,3.5535,0.08006451
32,0.077882361,0.05564611,1641997156,1641997156,0.083539915,3.5535,0.080882361
33,0.07705019,0.055761118,1641997156,1641997156,0.082829905,3.5535,0.08005019
34,0.08703747,0.055706117,1641997156,1641997156,0.092760038,3.5535,0.09003747
35,0.088486603,0.055657217,1641997156,1641997156,0.094160032,3.5535,0.091486603
36,0.081750887,0.055737239,1641997156,1641997156,0.087490034,3.5535,0.084750887
37,0.101617047,0.055773309,1641997156,1641997156,0.107399893,3.5535,0.104617047
38,0.075945427,0.055806587,1641997156,1641997156,0.08176012,3.5535,0.078945427
39,0.088771743,0.055751401,1641997156,1641997156,0.094540071,3.5535,0.091771743
40,0.098717316,0.055851356,1641997157,1641997156,0.104580116,3.5535,0.101717316
41,0.074599798,0.055821841,1641997157,1641997157,0.080429983,3.5535,0.077599798
42,0.083914733,0.055774951,1641997157,1641997157,0.089699936,3.5535,0.086914733
43,0.064696216,0.055829383,1641997157,1641997157,0.07052989,3.5535,0.067696216
44,0.08293732,0.055779139,1641997157,1641997157,0.088730049,3.5535,0.08593732
45,0.08538084,0.05571909,1641997157,1641997157,0.091109943,3.5535,0.08838084
46,0.272298686,0.055777439,1641997157,1641997157,0.278079939,3.5535,0.275298686
47,0.075550259,0.055831491,1641997157,1641997157,0.081390095,3.5535,0.078550259
48,0.096349366,0.055782668,1641997157,1641997157,0.102139902,3.5535,0.099349366
49,0.07412549,0.055863657,1641997158,1641997157,0.080000114,3.5535,0.07712549
50,0.094948369,0.055910033,1641997158,1641997158,0.100869846,3.5535,0.097948369
51,0.074746336,0.055880104,1641997158,1641997158,0.08064003,3.5535,0.077746336
52,0.08805377,0.055833035,1641997158,1641997158,0.093900156,3.5535,0.09105377
53,0.265753031,0.055911064,1641997158,1641997158,0.271670055,3.5535,0.268753031
54,0.084703647,0.055959977,1641997158,1641997158,0.090669823,3.5535,0.087703647
55,0.089338779,0.056000471,1641997158,1641997158,0.095349979,3.5535,0.092338779
56,0.085462091,0.05598736,1641997158,1641997158,0.09146018,3.5535,0.088462091
57,0.095377603,0.056028685,1641997158,1641997158,0.101410103,3.5535,0.098377603
58,0.087686094,0.056010691,1641997159,1641997158,0.093710136,3.5535,0.090686094
59,0.094885699,0.055973181,1641997159,1641997159,0.100870085,3.5535,0.097885699
60,0.06491792,0.056034925,1641997159,1641997159,0.070970011,3.5535,0.06791792
61,0.070848948,0.055994743,1641997159,1641997159,0.076859903,3.5535,0.073848948
62,0.077219286,0.056011162,1641997159,1641997159,0.083239985,3.5535,0.080219286
63,0.07763701,0.055995888,1641997159,1641997159,0.083640051,3.5535,0.08063701
64,0.095103052,0.055979225,1641997159,1641997159,0.10109992,3.5535,0.098103052
65,0.074667176,0.056038896,1641997159,1641997159,0.0807199,3.5535,0.077667176
66,0.082036521,0.056003068,1641997159,1641997159,0.088049841,3.5535,0.085036521
67,0.0865742,0.055985805,1641997159,1641997159,0.092570019,3.5535,0.0895742
68,0.075317417,0.056038584,1641997159,1641997159,0.081370068,3.5535,0.078317417
69,0.087094985,0.056002654,1641997160,1641997159,0.093110037,3.5535,0.090094985
70,0.075283044,0.056048639,1641997160,1641997160,0.081360054,3.5535,0.078283044
71,0.105701963,0.056012352,1641997160,1641997160,0.111730051,3.5535,0.108701963
72,0.052986704,0.056061425,1641997160,1641997160,0.059060049,3.5535,0.055986704
73,0.076073094,0.05601366,1641997160,1641997160,0.08210988,3.5535,0.079073094
74,0.088729645,0.055987333,1641997160,1641997160,0.094730091,3.5535,0.091729645
75,0.077975446,0.056038445,1641997160,1641997160,0.084030104,3.5535,0.080975446
76,0.086761813,0.056022544,1641997160,1641997160,0.092789841,3.5535,0.089761813
77,0.096675448,0.056067653,1641997160,1641997160,0.102750015,3.5535,0.099675448
78,0.073514029,0.056032614,1641997160,1641997160,0.079559994,3.5535,0.076514029
79,0.07732507,0.055995977,1641997160,1641997160,0.083329868,3.5535,0.08032507
80,0.093071166,0.055980501,1641997161,1641997160,0.099070024,3.5535,0.096071166
81,0.088179723,0.055989846,1641997161,1641997160,0.094180059,3.5535,0.091179723
82,0.086154555,0.056039001,1641997161,1641997161,0.092210007,3.5535,0.089154555
83,0.089298881,0.056066119,1641997161,1641997161,0.09538002,3.5535,0.092298881
84,0.088244716,0.056110343,1641997161,1641997161,0.094360065,3.5535,0.091244716
85,0.086003935,0.056142175,1641997161,1641997161,0.092150164,3.5535,0.089003935
86,0.093202256,0.05618415,1641997161,1641997161,0.099399996,3.5535,0.096202256
87,0.09708379,0.056220071,1641997161,1641997161,0.103320074,3.5535,0.10008379
88,0.083192016,0.056194638,1641997161,1641997161,0.089400005,3.5535,0.086192016
89,0.078456067,0.056168414,1641997161,1641997161,0.084639978,3.5535,0.081456067
90,0.07591113,0.056152497,1641997161,1641997161,0.082070065,3.5535,0.07891113
91,0.08803135,0.05612606,1641997162,1641997161,0.094170046,3.5535,0.09103135
92,0.08938139,0.05615694,1641997162,1641997162,0.095550013,3.5535,0.09238139
93,0.095052685,0.056197677,1641997162,1641997162,0.101270151,3.5535,0.098052685
94,0.073951474,0.056222448,1641997162,1641997162,0.08018012,3.5535,0.076951474
95,0.080031085,0.056192708,1641997162,1641997162,0.086240005,3.5535,0.083031085
96,0.083724976,0.056177855,1641997162,1641997162,0.089909983,3.5535,0.086724976
97,0.089225543,0.056200492,1641997162,1641997162,0.095430088,3.5535,0.092225543
98,0.075339186,0.056197775,1641997162,1641997162,0.08154006,3.5535,0.078339186
99,0.105743532,0.056172247,1641997162,1641997162,0.111929846,3.5535,0.108743532
100,0.076188322,0.056205276,1641997162,1641997162,0.082400036,3.5535,0.079188322
101,0.075531966,0.05618214,1641997162,1641997162,0.08173008,3.5535,0.078531966
102,0.078017701,0.056163083,1641997163,1641997162,0.084189844,3.5535,0.081017701
103,0.087983552,0.056151208,1641997163,1641997163,0.094150019,3.5535,0.090983552
104,0.081457075,0.05618364,1641997163,1641997163,0.087650013,3.5535,0.084457075
105,0.101836691,0.056200972,1641997163,1641997163,0.108059835,3.5535,0.104836691
106,0.076317567,0.056185704,1641997163,1641997163,0.08251996,3.5535,0.079317567
107,0.07647207,0.056165431,1641997163,1641997163,0.082649899,3.5535,0.07947207
108,0.088575386,0.056132294,1641997163,1641997163,0.094720078,3.5535,0.091575386
109,0.106654606,0.056163587,1641997163,1641997163,0.112829876,3.5535,0.109654606
110,0.067618861,0.056196437,1641997163,1641997163,0.073820066,3.5535,0.070618861
111,0.084757408,0.056163708,1641997163,1641997163,0.090940189,3.5535,0.087757408
112,0.087446407,0.056184098,1641997164,1641997163,0.093639803,3.5535,0.090446407
113,0.08511232,0.056213153,1641997164,1641997163,0.091330004,3.5535,0.08811232
114,0.075153251,0.056232314,1641997164,1641997164,0.08139987,3.5535,0.078153251
115,0.064350603,0.056249859,1641997164,1641997164,0.070599985,3.5535,0.067350603
116,0.085510879,0.056230873,1641997164,1641997164,0.091770124,3.5535,0.088510879
117,0.0929543,0.056256869,1641997164,1641997164,0.09921999,3.5535,0.0959543
118,0.074500111,0.056235764,1641997164,1641997164,0.080749941,3.5535,0.077500111
119,0.084884003,0.056214258,1641997164,1641997164,0.091109943,3.5535,0.087884003
120,0.077307895,0.056201741,1641997164,1641997164,0.083519888,3.5535,0.080307895
121,0.086936214,0.056189797,1641997164,1641997164,0.093140078,3.5535,0.089936214
122,0.063242431,0.056218628,1641997164,1641997164,0.069470119,3.5535,0.066242431
123,0.08598346,0.056195314,1641997164,1641997164,0.09218998,3.5535,0.08898346
124,0.085137464,0.05622115,1641997165,1641997164,0.091370058,3.5535,0.088137464
125,0.067959119,0.056200694,1641997165,1641997165,0.074160051,3.5535,0.070959119
126,0.083877981,0.05619508,1641997165,1641997165,0.090079975,3.5535,0.086877981
127,0.087762053,0.056177204,1641997165,1641997165,0.093949986,3.5535,0.090762053
128,0.091521943,0.056203877,1641997165,1641997165,0.097730112,3.5535,0.094521943
129,0.092520642,0.056181026,1641997165,1641997165,0.098720026,3.5535,0.095520642
130,0.07577125,0.056154571,1641997165,1641997165,0.081939888,3.5535,0.07877125
131,0.077896934,0.056135792,1641997165,1641997165,0.084049892,3.5535,0.080896934
132,0.083591453,0.056121834,1641997165,1641997165,0.089719963,3.5535,0.086591453
133,0.084204169,0.056129007,1641997165,1641997165,0.090339851,3.5535,0.087204169
134,0.08685917,0.056146678,1641997165,1641997165,0.093020153,3.5535,0.08985917
135,0.082998511,0.056136134,1641997166,1641997165,0.089150143,3.5535,0.085998511
136,0.087860603,0.056141596,1641997166,1641997166,0.094009829,3.5535,0.090860603
137,0.103779074,0.05616856,1641997166,1641997166,0.109959793,3.5535,0.106779074
138,0.076568016,0.056182495,1641997166,1641997166,0.082760048,3.5535,0.079568016
139,0.07594616,0.056165867,1641997166,1641997166,0.082120132,3.5535,0.07894616
140,0.106656645,0.056150105,1641997166,1641997166,0.112810087,3.5535,0.109656645
141,0.084708666,0.056174303,1641997166,1641997166,0.090889883,3.5535,0.087708666
142,0.063251704,0.056155473,1641997166,1641997166,0.069410038,3.5535,0.066251704
143,0.065468999,0.056136159,1641997166,1641997166,0.071609926,3.5535,0.068468999
144,0.096589744,0.056122363,1641997166,1641997166,0.102729988,3.5535,0.099589744
145,0.094934078,0.056106953,1641997166,1641997166,0.101049852,3.5535,0.097934078
146,0.098097966,0.05609329,1641997167,1641997166,0.104200077,3.5535,0.101097966
147,0.090047876,0.056086501,1641997167,1641997167,0.096150112,3.5535,0.093047876
148,0.076544268,0.056111114,1641997167,1641997167,0.082669926,3.5535,0.079544268
149,0.095596182,0.056097162,1641997167,1641997167,0.101710033,3.5535,0.098596182
150,0.078605132,0.056119485,1641997167,1641997167,0.084740114,3.5535,0.081605132
151,0.088256332,0.056109456,1641997167,1641997167,0.094370079,3.5535,0.091256332
152,0.110440393,0.05613027,1641997167,1641997167,0.116589975,3.5535,0.113440393
153,0.076026583,0.056152915,1641997167,1641997167,0.082189989,3.5535,0.079026583
154,0.08777107,0.056137192,1641997167,1641997167,0.093929958,3.5535,0.09077107
155,0.089214288,0.056157626,1641997167,1641997167,0.09538002,3.5535,0.092214288
156,0.088159234,0.056181758,1641997168,1641997167,0.094359827,3.5535,0.091159234
157,0.06732658,0.056204524,1641997168,1641997167,0.073540163,3.5535,0.07032658
158,0.092779043,0.056197045,1641997168,1641997168,0.098989916,3.5535,0.095779043
159,0.076769937,0.056201827,1641997168,1641997168,0.082980108,3.5535,0.079769937
160,0.075967964,0.056186262,1641997168,1641997168,0.082159948,3.5535,0.078967964
161,0.088026559,0.056172813,1641997168,1641997168,0.094209862,3.5535,0.091026559
162,0.079127708,0.056193909,1641997168,1641997168,0.085329962,3.5535,0.082127708
163,0.082265787,0.056185551,1641997168,1641997168,0.088469934,3.5535,0.085265787
164,0.086066859,0.056190116,1641997168,1641997168,0.092280102,3.5535,0.089066859
165,0.086439555,0.056202943,1641997168,1641997168,0.092649889,3.5535,0.089439555
166,0.094440009,0.056224082,1641997168,1641997168,0.100670052,3.5535,0.097440009
167,0.091338805,0.056228467,1641997169,1641997168,0.097580147,3.5535,0.094338805
168,0.082592559,0.056239533,1641997169,1641997168,0.088840199,3.5535,0.085592559
169,0.087956572,0.056243515,1641997169,1641997169,0.094209862,3.5535,0.090956572
170,0.088242663,0.056263315,1641997169,1641997169,0.094520044,3.5535,0.091242663
171,0.079617765,0.056252215,1641997169,1641997169,0.085879993,3.5535,0.082617765
172,0.101633598,0.056245278,1641997169,1641997169,0.107890081,3.5535,0.104633598
173,0.087449788,0.056249619,1641997169,1641997169,0.093709898,3.5535,0.090449788
174,0.087464857,0.056233597,1641997169,1641997169,0.093709898,3.5535,0.090464857
175,0.088576245,0.056251121,1641997169,1641997169,0.094840002,3.5535,0.091576245
176,0.270462433,0.05627211,1641997170,1641997169,0.276749802,3.5535,0.273462433
177,0.076662179,0.056263569,1641997170,1641997170,0.082940054,3.5535,0.079662179
178,0.076866784,0.056250892,1641997170,1641997170,0.083130074,3.5535,0.079866784
179,0.064575886,0.056238914,1641997170,1641997170,0.070830059,3.5535,0.067575886
180,0.080693911,0.056227018,1641997170,1641997170,0.086929989,3.5535,0.083693911
181,0.087547043,0.056216023,1641997170,1641997170,0.093769979,3.5535,0.090547043
182,0.099414813,0.056233657,1641997170,1641997170,0.105659914,3.5535,0.102414813
183,0.074785355,0.056226369,1641997170,1641997170,0.081029844,3.5535,0.077785355
184,0.088022224,0.056211241,1641997170,1641997170,0.094239902,3.5535,0.091022224
185,0.089714452,0.056228951,1641997170,1641997170,0.095950079,3.5535,0.092714452
186,0.087664524,0.056249222,1641997170,1641997170,0.093919945,3.5535,0.090664524
187,0.088947221,0.05626686,1641997171,1641997170,0.095230055,3.5535,0.091947221
188,0.089271236,0.056260419,1641997171,1641997171,0.095550013,3.5535,0.092271236
189,0.087801314,0.05625286,1641997171,1641997171,0.094060135,3.5535,0.090801314
190,0.085257022,0.056271108,1641997171,1641997171,0.091540051,3.5535,0.088257022
191,0.080810355,0.05626507,1641997171,1641997171,0.087089968,3.5535,0.083810355
192,0.095092798,0.0562577,1641997171,1641997171,0.101370049,3.5535,0.098092798
193,0.092305015,0.056249787,1641997171,1641997171,0.098570061,3.5535,0.095305015
194,0.060639175,0.05623099,1641997171,1641997171,0.06687994,3.5535,0.063639175
195,0.075991336,0.056212958,1641997171,1641997171,0.082219791,3.5535,0.078991336
196,0.087193001,0.056201231,1641997171,1641997171,0.093409967,3.5535,0.090193001
197,0.086529174,0.056218228,1641997171,1641997171,0.0927598,3.5535,0.089529174
198,0.110220556,0.056229706,1641997172,1641997171,0.116460037,3.5535,0.113220556
199,0.075296777,0.056246144,1641997172,1641997172,0.081559849,3.5535,0.078296777
200,0.073719689,0.05622845,1641997172,1641997172,0.07996006,3.5535,0.076719689
201,0.076235021,0.056240117,1641997172,1641997172,0.082490158,3.5535,0.079235021
202,0.077988176,0.056229563,1641997172,1641997172,0.084229898,3.5535,0.080988176
203,0.082781333,0.056245785,1641997172,1641997172,0.08902998,3.5535,0.085781333
204,0.088468735,0.056249435,1641997172,1641997172,0.094730091,3.5535,0.091468735
205,0.099485248,0.056267888,1641997172,1641997172,0.105770063,3.5535,0.102485248
206,0.07575842,0.056262053,1641997172,1641997172,0.08203001,3.5535,0.07875842
207,0.088057655,0.05624972,1641997172,1641997172,0.094320011,3.5535,0.091057655
208,0.088108604,0.056263859,1641997173,1641997172,0.094380093,3.5535,0.091108604
209,0.076910525,0.056279868,1641997173,1641997172,0.083200169,3.5535,0.079910525
210,0.088164903,0.056273126,1641997173,1641997173,0.094450188,3.5535,0.091164903
211,0.07709322,0.056289815,1641997173,1641997173,0.083399963,3.5535,0.08009322
212,0.078541047,0.056283467,1641997173,1641997173,0.084829998,3.5535,0.081541047
213,0.082369739,0.056277817,1641997173,1641997173,0.08864994,3.5535,0.085369739
214,0.086429775,0.056266844,1641997173,1641997173,0.09270997,3.5535,0.089429775
215,0.08885799,0.05627622,1641997173,1641997173,0.095139933,3.5535,0.09185799
216,0.087688139,0.05629141,1641997173,1641997173,0.09399004,3.5535,0.090688139
217,0.098444125,0.056306222,1641997173,1641997173,0.104760122,3.5535,0.101444125
218,0.082700887,0.056299529,1641997173,1641997173,0.089020205,3.5535,0.085700887
219,0.085030971,0.056288542,1641997174,1641997173,0.091330004,3.5535,0.088030971
220,0.096478151,0.056282593,1641997174,1641997173,0.102780056,3.5535,0.099478151
221,0.078461157,0.056276334,1641997174,1641997174,0.084750128,3.5535,0.081461157
222,0.089211084,0.056270741,1641997174,1641997174,0.095500183,3.5535,0.092211084
223,0.075485873,0.056284499,1641997174,1641997174,0.081779909,3.5535,0.078485873
224,0.088563435,0.056274183,1641997174,1641997174,0.094850016,3.5535,0.091563435
225,0.086113506,0.05628962,1641997174,1641997174,0.092419815,3.5535,0.089113506
226,0.074755442,0.056305397,1641997174,1641997174,0.081069899,3.5535,0.077755442
227,0.085259614,0.056295457,1641997174,1641997174,0.091569853,3.5535,0.088259614
228,0.085398558,0.056303617,1641997174,1641997174,0.091710043,3.5535,0.088398558
229,0.09214541,0.056319031,1641997174,1641997174,0.098479939,3.5535,0.09514541
230,0.100106687,0.05631116,1641997175,1641997174,0.106430006,3.5535,0.103106687
231,0.07874205,0.056326844,1641997175,1641997175,0.085080099,3.5535,0.08174205
232,0.074482673,0.056321627,1641997175,1641997175,0.080820036,3.5535,0.077482673
233,0.078802905,0.056312003,1641997175,1641997175,0.085129929,3.5535,0.081802905
234,0.105350247,0.056307325,1641997175,1641997175,0.11166997,3.5535,0.108350247
235,0.075606525,0.056320012,1641997175,1641997175,0.081940126,3.5535,0.078606525
236,0.087971691,0.056309696,1641997175,1641997175,0.09428997,3.5535,0.090971691
237,0.064119868,0.056323477,1641997175,1641997175,0.07045002,3.5535,0.067119868
238,0.086737126,0.056310922,1641997175,1641997175,0.093059969,3.5535,0.089737126
239,0.064981311,0.056305796,1641997175,1641997175,0.071289968,3.5535,0.067981311
240,0.076263822,0.056296431,1641997175,1641997175,0.082580042,3.5535,0.079263822
241,0.076013198,0.056286702,1641997176,1641997175,0.082309914,3.5535,0.079013198
242,0.074132274,0.056277682,1641997176,1641997175,0.08045001,3.5535,0.077132274
243,0.0804185,0.056286898,1641997176,1641997176,0.086719942,3.5535,0.0834185
244,0.266556567,0.056288892,1641997176,1641997176,0.272850227,3.5535,0.269556567
245,0.094795103,0.056274061,1641997176,1641997176,0.101080132,3.5535,0.097795103
246,0.082952263,0.056280849,1641997176,1641997176,0.08925004,3.5535,0.085952263
247,0.087028999,0.056271058,1641997176,1641997176,0.09331007,3.5535,0.090028999
248,0.076339968,0.056264869,1641997176,1641997176,0.082610083,3.5535,0.079339968
249,0.07503842,0.056254639,1641997176,1641997176,0.081309986,3.5535,0.07803842
250,0.066017868,0.056245564,1641997176,1641997176,0.072269869,3.5535,0.069017868
251,0.275120935,0.056239882,1641997177,1641997176,0.281369877,3.5535,0.278120935
252,0.084792678,0.056252416,1641997177,1641997177,0.091059875,3.5535,0.087792678
253,0.083722942,0.056259997,1641997177,1641997177,0.089999866,3.5535,0.086722942
